ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,Latitude,Longitude,Description,RoadName
147,SBST,2,16,11019,7.0,1.28679632523156,103.80565677295323,Alexandra Ctrl,Jln Bt Merah
147,SBST,2,17,10139,7.3,1.28635135443034,103.8081000223439,Blk 1,Jln Bt Merah
147,SBST,2,18,10119,7.6,1.28598009010704,103.81122515087834,Opp Pacific Tech Ctr,Jln Bt Merah
147,SBST,2,19,10109,7.8,1.28535315729277,103.81370529674271,Bt Merah Sec Sch,Jln Bt Merah
147,SBST,2,20,10099,8.3,1.28420923932422,103.81765723225827,Opp Bt Merah Town Ctr,Jln Bt Merah
147,SBST,2,21,10089,8.8,1.28292332245689,103.82165660905856,Blk 119,Jln Bt Merah
147,SBST,2,22,10079,9.5,1.2803950142786,103.82708906887606,Blk 201,Jln Bt Merah
147,SBST,2,23,10069,9.9,1.27855472196877,103.83008250001669,Opp Blk 140,Jln Bt Merah
147,SBST,2,24,10059,10.2,1.27739664167497,103.83275178077875,Opp Blk 149,Jln Bt Merah
147,SBST,2,25,10049,10.5,1.27623302424393,103.83483786772155,Opp Kampong Bahru Ter,Kg Bahru Rd
147,SBST,2,26,10017,10.9,1.27832046633393,103.83762574759974,Aft Hosp Dr,Eu Tong Sen St
147,SBST,2,27,10018,11.0,1.27900819665099,103.83860360621959,Outram Pk Stn Exit 6/SGH,Eu Tong Sen St
147,SBST,2,28,05012,11.4,1.28154583300728,103.84087722199499,Bef Pearl's Hill Terr,Eu Tong Sen St
147,SBST,2,29,05022,12.0,1.28571089865595,103.84437203405348,Aft Chinatown Stn Exit D,Eu Tong Sen St
147,SBST,2,30,04222,12.5,1.28898962180798,103.84708976365569,Clarke Quay Stn Exit E,Eu Tong Sen St
147,SBST,2,31,04223,12.8,1.29084476137495,103.84857901022669,Old Hill St Police Stn,Hill St
147,SBST,2,32,04143,13.2,1.29411640848293,103.85020606905503,Stamford Ct,Hill St
147,SBST,2,33,04121,13.5,1.29618544092334,103.84958029974611,SMU,Stamford Rd
147,SBST,2,34,08079,13.9,1.29921444445586,103.84910329217985,Sch of The Arts,Prinsep St
147,SBST,2,35,07011,14.1,1.30099699058522,103.8498101874305,Bef Sophia Rd,Selegie Rd
147,SBST,2,36,07021,14.4,1.30324521574524,103.84995776766847,Selegie Ctr,Selegie Rd
147,SBST,2,37,07031,14.7,1.30572083298412,103.85120583303191,Tekka Ctr,S'goon Rd
147,SBST,2,38,07111,15.1,1.30879366465919,103.8531751994068,Broadway Hotel,S'goon Rd
147,SBST,2,39,07211,15.7,1.31313747728456,103.8563561439714,Aft Farrer Pk Stn Exit G,S'goon Rd
147,SBST,2,40,07221,16.0,1.314966,103.857819,Sri Vadapathira K Tp,S'goon Rd
147,SBST,2,41,60101,16.4,1.31783421341306,103.86004042483177,Kwong Wai Shiu Hosp,S'goon Rd
147,SBST,2,42,60121,16.7,1.32008815616383,103.86179781146463,Boon Keng Stn/Blk 102,S'goon Rd
147,SBST,2,43,60141,17.1,1.32258753768004,103.86385682733587,Opp Bendemeer Pr Sch,S'goon Rd
147,SBST,2,44,60161,17.4,1.32477289725503,103.8655673081052,St. Michael's Pl,S'goon Rd
147,SBST,2,45,60201,18.0,1.32933888886,103.8683861111429,18 Woodsville,Upp S'goon Rd
147,SBST,2,46,60261,18.2,1.33132471594343,103.86891794930561,Potong Pasir Stn Exit C,Upp S'goon Rd
147,SBST,2,47,61011,18.4,1.3333927981396,103.86946402615806,Blk 103,Upp S'goon Rd
147,SBST,2,48,61021,18.7,1.33627668492978,103.87018878876424,Aft Woodleigh Pk,Upp S'goon Rd
147,SBST,2,49,61031,18.9,1.33836472248768,103.8704496726279,Woodleigh Stn Exit B,Upp S'goon Rd
147,SBST,2,50,61041,19.2,1.34142999996834,103.87049194397346,Bef Braddell Rd,Upp S'goon Rd
147,SBST,2,51,62111,19.6,1.34509852230089,103.87077171254077,Aft Sommerville Rd,Upp S'goon Rd
147,SBST,2,52,62121,19.8,1.34682778451192,103.87156809881778,Aft Wolskel Rd,Upp S'goon Rd
147,SBST,2,53,62131,20.1,1.3489790064228,103.87277432797597,S'Goon Stn Exit B,Upp S'goon Rd
147,SBST,2,54,66371,20.7,1.353767301605,103.87268543240587,Blk 261,S'goon Ctrl
147,SBST,2,55,63361,21.1,1.35744648841295,103.87383985365209,Opp S'goon Sports Cplx,Yio Chu Kang Link
147,SBST,2,56,63181,21.5,1.36083138898279,103.87346222201559,Bef St. Helier's Ave,Yio Chu Kang Rd
147,SBST,2,57,63191,21.9,1.36426277802723,103.87403972199432,Aft S'goon Nth Ave 1,Yio Chu Kang Rd
147,SBST,2,58,63201,22.1,1.36617789459924,103.87492029493984,Affinity At Serangoon,Yio Chu Kang Rd
147,SBST,2,59,63211,22.4,1.36816,103.875784,Blk 138,Yio Chu Kang Rd
147,SBST,2,60,63311,22.8,1.36990463865149,103.87780647158901,Blk 634,Hougang Ave 2
147,SBST,2,61,63391,23.2,1.3708774514093,103.88018734514235,Blk 639,Hougang Ave 8
147,SBST,2,62,63381,23.5,1.37095163322641,103.88239574095121,Xinmin Pr Sch,Hougang Ave 8
147,SBST,2,63,63371,23.9,1.37115666339413,103.88514405987183,Blk 679,Hougang Ave 8
147,SBST,2,64,64341,24.2,1.3729130421635,103.88633750747994,Bef Blk 683,Hougang Ave 8
147,SBST,2,65,64351,24.5,1.374811,103.888082,Opp Montfort Sch,Hougang Ave 8
147,SBST,2,66,64361,24.8,1.37634509209583,103.89054894445846,Blk 535,Hougang Ave 8
147,SBST,2,67,64031,25.2,1.37699995735935,103.893660799245,Blk 436,Hougang Ave 8
147,SBST,2,68,64079,25.7,1.37500833299826,103.89774777801168,Punggol Pk,Hougang Ave 8
147,SBST,2,69,64059,26.2,1.37249135705281,103.89837470452339,Blk 355,Upp S'goon Rd
147,SBST,2,70,64049,26.5,1.3703713899857,103.89603248614272,Opp The Midtown,Upp S'goon Rd
147,SBST,2,71,64009,27.2,1.37060695394614,103.89266808874676,Hougang Ctrl Int,Hougang Ctrl
190,SMRT,1,1,44009,0.0,1.38586897797184,103.74578895932125,Choa Chu Kang Int,Choa Chu Kang Loop
190,SMRT,1,2,44539,0.6,1.38463078337388,103.74502387945829,Lot 1/Choa Chu Kang Stn,Choa Chu Kang Ave 4
190,SMRT,1,3,44399,1.1,1.38306278590518,103.74851002579776,Opp Blk 210,Choa Chu Kang Dr
190,SMRT,1,4,44299,1.4,1.38177250001353,103.75131333302434,CCK Polyclinic,Teck Whye Ave
190,SMRT,1,5,44289,1.7,1.38140148022937,103.75380266661918,Blk 6,Teck Whye Ave
190,SMRT,1,6,44279,2.1,1.37910867690077,103.75635459940506,Blk 157,Teck Whye Ave
190,SMRT,1,7,44141,2.5,1.37835602806756,103.75773677895589,Phoenix Stn,Choa Chu Kang Rd
190,SMRT,1,8,44251,3.1,1.38030076722264,103.76231669235113,Bt Panjang Stn/Blk 604,Bt Panjang Rd
190,SMRT,1,9,44241,3.5,1.38117443945082,103.76586096715347,Opp Lompang Rd,Bt Panjang Rd
190,SMRT,1,10,44231,4.0,1.37916686797468,103.76933485417399,Zhenghua Pr Sch,Bt Panjang Rd
190,SMRT,1,11,44261,4.7,1.3760822219899,103.774277778025,Blk 270,Bt Panjang Rd
190,SMRT,1,14,40239,14.3,1.322585278,103.8262153,Bef Stevens Stn Exit 4,Whitley Rd
190,SMRT,1,15,40229,14.7,1.319241,103.825711,Bef Stevens Stn Exit 2,Stevens Rd
190,SMRT,1,16,40219,14.9,1.317033,103.826044,Bef Met YMCA,Stevens Rd
190,SMRT,1,17,40209,15.3,1.31388805600649,103.82738777802837,Novotel Mercure @ Stevens,Stevens Rd
190,SMRT,1,18,40199,15.8,1.31258333303153,103.83191222199584,Aft Balmoral Rd,Stevens Rd
190,SMRT,1,19,09219,16.5,1.30731999685228,103.83316088291699,Far East Plaza,Scotts Rd
190,SMRT,1,20,09047,16.9,1.30446065207443,103.83294467208566,Orchard Stn/Tang Plaza,Orchard Rd
190,SMRT,1,21,09037,17.4,1.3023400420296,103.83701253388183,Bef Cairnhill Rd,Orchard Rd
190,SMRT,1,22,08138,18.1,1.3004785730821,103.84184700607595,Concorde Hotel S'pore,Orchard Rd
190,SMRT,1,23,08057,18.5,1.29930997279734,103.84529021429745,Dhoby Ghaut Stn,Orchard Rd
190,SMRT,1,24,08069,19.0,1.29821382250893,103.84936128375956,Bencoolen Stn Exit B,Bras Basah Rd
190,SMRT,1,25,04159,19.5,1.29489484954945,103.85108138663934,Aft CHIJMES,Victoria St
190,SMRT,1,26,04149,19.8,1.29276132399953,103.84983741344308,Grand Pk City Hall,Hill St
190,SMRT,1,27,04229,20.1,1.29044830830726,103.84875123545265,High St Ctr,Hill St
190,SMRT,1,28,04239,20.3,1.28882717929599,103.8474938118651,Opp Clarke Quay Stn,New Bridge Rd
190,SMRT,1,29,05059,20.6,1.28676420118491,103.84575036447065,Hong Lim Pk,New Bridge Rd
190,SMRT,1,30,05049,20.8,1.28531114761754,103.84455070696784,Chinatown Stn Exit E,New Bridge Rd
190,SMRT,1,31,05039,21.2,1.28293819129834,103.84254276754574,New Bridge Ctr,New Bridge Rd
190,SMRT,1,32,05019,21.5,1.28118388885484,103.84105000000471,Aft Duxton Plain Pk,New Bridge Rd
190,SMRT,1,33,05069,21.6,1.28027629959632,103.84029791443083,Outram Pk Stn Exit 4,New Bridge Rd
190,SMRT,1,34,10011,22.0,1.2777380589964,103.83749709165197,Bef Neil Rd,New Bridge Rd
190,SMRT,1,35,10041,22.3,1.27605834770353,103.83519065305671,Bef Kampong Bahru Ter,Kg Bahru Rd
190,SMRT,1,36,10499,22.9,1.27585400417691,103.83401000002084,Kampong Bahru Ter,Spooner Rd
190,SMRT,2,1,10499,0.0,1.27585400417691,103.83401000002084,Kampong Bahru Ter,Spooner Rd
190,SMRT,2,2,10049,0.7,1.27623302424393,103.83483786772155,Opp Kampong Bahru Ter,Kg Bahru Rd
190,SMRT,2,3,10017,1.1,1.27832046633393,103.83762574759974,Aft Hosp Dr,Eu Tong Sen St
190,SMRT,2,4,05012,1.6,1.28154583300728,103.84087722199499,Bef Pearl's Hill Terr,Eu Tong Sen St
190,SMRT,2,5,05022,2.2,1.28571089865595,103.84437203405348,Aft Chinatown Stn Exit D,Eu Tong Sen St
190,SMRT,2,6,04222,2.7,1.28898962180798,103.84708976365569,Clarke Quay Stn Exit E,Eu Tong Sen St
