ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,1,19021,19031,68,ux~FwwlxRS`@c@t@KVg@|@]l@GJYl@i@rAMd@]x@c@~@CFMTD@@@
147,1,19031,19041,69,eb_GkflxRAAEAo@hA_@l@w@tAe@dAGPSl@SrACr@AjA@d@
147,1,19041,17151,70,oi_GatkxR@b@Fv@B^Bd@HfBLhB@P@ZHbAHbADn@?L@JBb@B^D~@J`CD~@HdBJ?DhA?FDl@
147,1,17151,17161,71,ce_GaojxRHjA@HFDAJ@NYXCh@Ef@Ih@G\IZCFCJGVGNQl@MZk@fAY`@EHGTCXH?F?@SBGZk@
147,1,17161,17171,72,ki_Gw}ixR[j@CFARG?I?C?G?GDMLGBALK@K@MF[Va@\a@V]R]Na@Ri@RaAZCDCBCFAFCA}@ZC@e@NGB]L
147,1,17171,17009,73,{{_GoqixR\MFCd@OBA|@[B@IVCBCBOF??UJELw@XAB?BN\?@ABEBMHn@lAz@h@RYQKa@UCC
147,2,17009,17239,0,_y_G_mixRECe@_AE?G@MHn@lAz@h@NH?@?@?@EFA@C@E?m@KMAGCQMIGGIGIKSKSEEA?I@GD^j@LNRRTNFBRHRFNBLB^DD@N?R@P?d@?p@?T?P?`@A^EXGZQJI^]XYh@i@\_@^_@\]\]FGZ[BK@IAICKGI]]CCCCIGACMKq@o@SS
147,2,17239,17159,1,ei_GcxixRQOk@k@WUEEGGa@a@NMFIX[V]LQLQN[Rc@Pe@DIBQHW@IPq@Js@Fo@@k@?{@GmB
147,2,17159,19049,2,yf_GkpjxR??OqCG_AA[AGI_BCUAYEi@?MCa@Ca@AKK_BCi@YoEImBW@
147,2,19049,19039,3,ak_G_okxRVAC{@Cm@EwBFqAB_@XcBRo@Tu@r@oBXq@P_@Xk@
147,2,19039,19029,4,md_GmglxRBGLU`C_Eb@q@|@eBd@}@Xi@pB{D
147,2,19029,19019,5,ew~Fg|lxRZm@FMZi@bAmBDKFKBG^u@NWf@gALWl@sBBS
147,2,19019,11199,6,wm~FqmmxRF]Fo@B_@Be@?e@AiAGgAYeDK}@CWCUAQGi@OoA
147,2,11199,11189,7,qo~F{dnxRMkACe@COE{@AQ?O?k@Dm@BUH_@Rq@Pm@FQHYHWBK@I@GHWBKFUPe@J]L_@P]N_@PY
147,2,11189,11179,8,{i~Fc~nxR??bA}Ab@y@\m@FMBERa@FKh@y@NS
147,2,11179,11169,9,sb~FyhoxRLQd@k@LOl@s@n@u@NQrDoEr@{@TYh@s@\a@DEt@aAvA_B|@eA
147,2,11169,11059,10,kl}FmbpxR@AbBmBn@s@NObAiA`@c@z@iAV]JOz@gAJMh@q@x@JXDn@HhC^
147,2,11059,11049,11,_u|FsqpxRh@H^FXDlAPl@Lt@Nv@V`Ab@zDrA^Lx@T@?
147,2,11049,11039,12,w_|FwipxR\HPBf@Hl@JpCBt@?ZC`@E\I`@KZKFCxBcA
147,2,11039,11029,13,ml{FclpxRBALIx@a@ROBCNMZU`@UTURSLMJKXYd@e@RSLOh@k@RQZ]^a@
147,2,11029,11019,14,{}zFeypxRlAqAh@g@Z]l@m@JKh@i@PQDCbAmAt@w@Z[t@s@@CVWLKp@s@b@_@TUR_@N]La@@C
147,2,11019,10139,15,whzFcpqxRBOXoADc@J_ABe@JaB?EBk@@C@y@Do@@A
147,2,10139,10119,16,gfzFq_rxRBo@De@@_@Fw@B[?KLqBH_ABS@UBULwAJkA?A
147,2,10119,10109,17,sczF_srxRHi@Jo@h@}Cn@wDDWDSBQ
147,2,10109,10099,18,s_zFmbsxRTsALs@FWDW^wBb@eCLu@@CJq@\kBZkBF_@
147,2,10099,10089,19,_yyFg{sxRPaABK?CBOJk@VyAh@}BF]H]VkABMFSBO`@aBLc@`@wAL_@
147,2,10089,10079,20,}pyFettxRNi@Pc@x@mCXaAVq@J]Tw@DIJ_@FS~@gCVs@Na@nAwCj@oADKz@qBJU
147,2,10079,10069,21,aayFcvuxR`@cAL[JQb@_AXm@d@cAFOV]TYPSZi@BCDKd@cAXc@N]HMBI
147,2,10069,10059,22,uuxF{hvxRLYL_@FOF]D[Rw@Pk@X_ARe@DKBKHQLYHQx@oB
